line_no,row_kind,source_table,asset_category,currency,symbol,date,ex_date,pay_date,quantity,tax,fee,gross_rate,gross_amount,net_amount,code
430,Data,change_in_dividend_accruals__01,Starting Dividend Accruals in USD,,,,,,,,,,,0.25,
431,Data,change_in_dividend_accruals__01,Stocks,USD,EQT,2025-05-06,2025-05-07,2025-06-02,40,0,0,0.1575,6.3,6.3,Po
432,Data,change_in_dividend_accruals__01,Stocks,USD,EQT,2025-06-02,2025-05-07,2025-06-02,40,0,0,0.1575,-6.3,-6.3,Re
433,Data,change_in_dividend_accruals__01,Stocks,USD,EQT,2025-08-05,2025-08-06,2025-09-02,40,0,0,0.1575,6.3,6.3,Po
434,Data,change_in_dividend_accruals__01,Stocks,USD,EQT,2025-09-02,2025-08-06,2025-09-02,40,0,0,0.1575,-6.3,-6.3,Re
435,Data,change_in_dividend_accruals__01,Stocks,USD,EQT,2025-11-04,2025-11-05,2025-12-01,40,0,0,0.165,6.6,6.6,Po
436,Data,change_in_dividend_accruals__01,Stocks,USD,EQT,2025-12-01,2025-11-05,2025-12-01,40,0,0,0.165,-6.6,-6.6,Re
437,Data,change_in_dividend_accruals__01,Stocks,USD,EQT,2026-02-16,2026-02-17,2026-03-02,40,0,0,0.165,6.6,6.6,Po
438,Data,change_in_dividend_accruals__01,Stocks,USD,EQT,2026-03-02,2026-02-17,2026-03-02,40,0,0,0.165,-6.6,-6.6,Re
439,Data,change_in_dividend_accruals__01,Stocks,USD,IGIC,2025-04-03,2025-04-04,2025-04-22,100,0,0,0.025,2.5,2.5,Po
440,Data,change_in_dividend_accruals__01,Stocks,USD,IGIC,2025-04-03,2025-04-04,2025-04-22,100,0,0,0.85,85,85,Po
441,Data,change_in_dividend_accruals__01,Stocks,USD,IGIC,2025-04-22,2025-04-04,2025-04-22,100,0,0,0.025,-2.51,-2.51,Re
442,Data,change_in_dividend_accruals__01,Stocks,USD,IGIC,2025-04-22,2025-04-04,2025-04-22,100,0,0,0.85,-85,-85,Re
443,Data,change_in_dividend_accruals__01,Stocks,USD,IGIC,2025-05-30,2025-06-02,2025-06-18,100,0,0,0.05,5,5,Po
444,Data,change_in_dividend_accruals__01,Stocks,USD,IGIC,2025-06-18,2025-06-02,2025-06-18,100,0,0,0.05,-5,-5,Re
445,Data,change_in_dividend_accruals__01,Stocks,USD,IGIC,2025-08-28,2025-08-29,2025-09-16,100,0,0,0.05,5,5,Po
446,Data,change_in_dividend_accruals__01,Stocks,USD,IGIC,2025-09-16,2025-08-29,2025-09-16,100,0,0,0.05,-5,-5,Re
447,Data,change_in_dividend_accruals__01,Stocks,USD,IGIC,2025-12-16,2025-12-17,2025-12-31,100,0,0,0.05,5,5,Po
448,Data,change_in_dividend_accruals__01,Stocks,USD,IGIC,2025-12-31,2025-12-17,2025-12-31,100,0,0,0.05,-5,-5,Re
449,Data,change_in_dividend_accruals__01,Stocks,USD,KINS,2025-08-08,2025-08-11,2025-08-26,150,0,0,0.05,7.5,7.5,Po
450,Data,change_in_dividend_accruals__01,Stocks,USD,KINS,2025-08-26,2025-08-11,2025-08-26,150,0,0,0.05,-7.5,-7.5,Re
451,Data,change_in_dividend_accruals__01,Stocks,USD,KINS,2025-11-07,2025-11-10,2025-11-26,150,0,0,0.05,7.5,7.5,Po
452,Data,change_in_dividend_accruals__01,Stocks,USD,KINS,2025-11-26,2025-11-10,2025-11-26,150,0,0,0.05,-7.5,-7.5,Re
453,Data,change_in_dividend_accruals__01,Stocks,USD,KINS,2026-02-10,2026-02-11,2026-02-26,150,0,0,0.05,7.5,7.5,Po
454,Data,change_in_dividend_accruals__01,Stocks,USD,KINS,2026-02-26,2026-02-11,2026-02-26,150,0,0,0.05,-7.5,-7.5,Re
