line_no,row_kind,source_table,datadiscriminator,asset_category,currency,symbol,date_time,quantity,t_price,c_price,proceeds,comm_fee,basis,realized_p_l,mtm_p_l,code,notional_value,field_8,comm_in_usd,field_11,field_12,mtm_in_usd
265,SubTotal,trades__01,,Stocks,USD,WHR,,2,,,-168.46,-1.000092,176.854631,7.394539,2.08,,,,,,,
266,Data,trades__01,Order,Stocks,USD,YETI,"2025-04-09, 14:07:03",6,30.225,30.9,-181.35,-1.000276,196.093249,13.742973,4.05,C,,,,,,
267,SubTotal,trades__01,,Stocks,USD,YETI,,6,,,-181.35,-1.000276,196.093249,13.742973,4.05,,,,,,,
268,Total,trades__01,,Stocks,USD,,,,,,236.342,-19.253211173,-2346.37721412,-2129.288424,-126.918, ,,,,,,
270,Data,trades__01,Order,Equity and Index Options,USD,NMM 16JAN26 70 C,"2026-01-16, 16:20:00",-1,0,0,0,0,-210.04395,-210.04395,0,C;Ep,,,,,,
271,SubTotal,trades__01,,Equity and Index Options,USD,NMM 16JAN26 70 C,,-1,,,0,0,-210.04395,-210.04395,0,,,,,,,
272,Data,trades__01,Order,Equity and Index Options,USD,NMM 16JAN26 85 C,"2026-01-16, 16:20:00",-1,0,0,0,0,-85.04395,-85.04395,0,C;Ep,,,,,,
273,SubTotal,trades__01,,Equity and Index Options,USD,NMM 16JAN26 85 C,,-1,,,0,0,-85.04395,-85.04395,0,,,,,,,
274,Data,trades__01,Order,Equity and Index Options,USD,NXT 15AUG25 30 C,"2025-04-04, 11:51:33",-1,11.51,11.6367,1151,-1.0920378,-1063.04395,86.864012,-12.67,C;L,,,,,,
275,Data,trades__01,Order,Equity and Index Options,USD,NXT 15AUG25 30 C,"2025-04-09, 09:51:42",-1,10.03,11.6185,1003,-1.0879234,-1062.04395,-60.131873,-158.85,C,,,,,,
276,SubTotal,trades__01,,Equity and Index Options,USD,NXT 15AUG25 30 C,,-2,,,2154,-2.1799612,-2125.0879,26.732139,-171.52,,,,,,,
277,Data,trades__01,Order,Equity and Index Options,USD,PDD 16JAN26 110 C,"2025-04-07, 10:33:27",-1,17.29,16.2243,1729,-0.8481062,-3410.80525,-1682.653356,106.57,C,,,,,,
278,Data,trades__01,Order,Equity and Index Options,USD,PDD 16JAN26 110 C,"2025-04-08, 13:37:51",-1,13.1,13.675,1310,-0.846458,-3410.80525,-2101.651708,-57.5,C,,,,,,
279,SubTotal,trades__01,,Equity and Index Options,USD,PDD 16JAN26 110 C,,-2,,,3039,-1.6945642,-6821.6105,-3784.305064,49.07,,,,,,,
280,Data,trades__01,Order,Equity and Index Options,USD,PDD 16JAN26 60 P,"2025-04-08, 13:40:34",-4,4.3,4.8543,1720,-1.887976,-662.781,1055.331024,-221.72,C,,,,,,
281,SubTotal,trades__01,,Equity and Index Options,USD,PDD 16JAN26 60 P,,-4,,,1720,-1.887976,-662.781,1055.331024,-221.72,,,,,,,
282,Data,trades__01,Order,Equity and Index Options,USD,SLV 20JUN25 30 C,"2025-04-23, 15:11:26",1,1.9,1.8685,-190,-1.05725,191.05725,0,-3.15,O,,,,,,
283,Data,trades__01,Order,Equity and Index Options,USD,SLV 20JUN25 30 C,"2025-04-24, 09:46:37",1,1.65,1.8057,-165,-1.05725,166.05725,0,15.57,O,,,,,,
284,Data,trades__01,Order,Equity and Index Options,USD,SLV 20JUN25 30 C,"2025-04-24, 10:31:07",5,1.74,1.8057,-870,-3.23625,873.23625,0,32.85,O;P,,,,,,
285,Data,trades__01,Order,Equity and Index Options,USD,SLV 20JUN25 30 C,"2025-04-24, 14:48:47",5,1.78,1.8057,-890,-3.53625,893.53625,0,12.85,O;P,,,,,,
286,Data,trades__01,Order,Equity and Index Options,USD,SLV 20JUN25 30 C,"2025-06-20, 12:37:15",-11,2.67,2.72,2937,-4.07814,-1945.17975,987.74211,-55,C,,,,,,
287,Data,trades__01,Order,Equity and Index Options,USD,SLV 20JUN25 30 C,"2025-06-20, 16:20:00",-1,0,2.72,0,0,-178.70725,0,-272,C;Ex,,,,,,
288,SubTotal,trades__01,,Equity and Index Options,USD,SLV 20JUN25 30 C,,0,,,822,-12.96514,0,987.74211,-268.88,,,,,,,
289,Data,trades__01,Order,Equity and Index Options,USD,SLV 20JUN25 35 C,"2025-04-23, 15:11:54",-1,0.45,0.45,45,-1.061291,-43.938709,0,0,O,,,,,,
290,Data,trades__01,Order,Equity and Index Options,USD,SLV 20JUN25 35 C,"2025-04-24, 09:46:37",-1,0.37,0.395,37,-1.0610686,-35.9389314,0,-2.5,O,,,,,,
291,Data,trades__01,Order,Equity and Index Options,USD,SLV 20JUN25 35 C,"2025-04-24, 10:31:07",-5,0.39,0.395,195,-3.255621,-191.744379,0,-2.5,O;P,,,,,,
292,Data,trades__01,Order,Equity and Index Options,USD,SLV 20JUN25 35 C,"2025-04-24, 14:48:47",-5,0.38,0.395,190,-3.555482,-186.444518,0,-7.5,O;P,,,,,,
293,Data,trades__01,Order,Equity and Index Options,USD,SLV 20JUN25 35 C,"2025-06-20, 12:37:15",11,0.01,0,-11,0.35255,420.777634,410.130184,-11,C,,,,,,
294,Data,trades__01,Order,Equity and Index Options,USD,SLV 20JUN25 35 C,"2025-06-20, 16:20:00",1,0,0,0,0,37.288904,37.288904,0,C;Ep,,,,,,
295,SubTotal,trades__01,,Equity and Index Options,USD,SLV 20JUN25 35 C,,0,,,456,-8.5809126,0.0000006,447.419088,-23.5,,,,,,,
